accel_x,accel_y,accel_z
5.150826,5.093435,6.37038
5.12213,5.201043,6.485162
5.086261,5.186695,6.384728
5.079087,5.158,6.37038
5.007349,5.12213,6.348859
5.172348,5.172348,6.434945
5.12213,5.12213,6.485162
5.12213,5.279955,6.420598
5.079087,5.222564,6.492336
5.021697,5.150826,6.399076
5.014523,5.136478,6.413424
5.172348,5.258433,6.40625
5.158,5.186695,6.470815
5.143652,5.201043,6.427772
5.158,5.30865,6.434945
5.079087,5.172348,6.384728
5.143652,5.201043,6.341685
5.06474,5.158,6.420598
5.06474,5.236912,6.542553
5.193869,5.158,6.420598
5.086261,5.229738,6.40625
5.014523,5.172348,6.399076
5.043218,5.172348,6.420598
5.057566,5.150826,6.391902
5.06474,5.222564,6.377554
5.014523,5.12213,6.521031
5.086261,5.229738,6.384728
5.100609,5.179521,6.492336
5.043218,5.143652,6.463641
5.079087,5.150826,6.37038
5.172348,5.150826,6.492336
5.071913,5.158,6.463641
5.086261,5.12213,6.384728
5.06474,5.165174,6.413424
5.02887,5.172348,6.391902
5.057566,5.150826,6.442119
5.021697,5.093435,6.442119
5.129304,5.150826,6.363207
5.093435,5.179521,6.384728
5.150826,5.114956,6.420598
5.114956,5.172348,6.456467
5.079087,5.129304,6.40625
5.02887,5.165174,6.434945
5.079087,5.215391,6.449293
5.107783,5.158,6.492336
5.136478,5.158,6.442119
5.107783,5.186695,6.470815
5.079087,5.158,6.463641
5.057566,5.229738,6.449293
5.06474,5.193869,6.427772
5.114956,5.150826,6.463641
5.036044,5.172348,6.341685
5.02887,5.165174,6.449293
5.036044,5.186695,6.564075
5.093435,5.136478,6.449293
5.165174,5.201043,6.49951
5.100609,5.172348,6.391902
5.136478,5.186695,6.434945
5.093435,5.172348,6.391902
5.043218,5.215391,6.377554
5.086261,5.215391,6.442119
5.071913,5.208217,6.420598
5.158,5.12213,6.413424
5.057566,5.165174,6.348859
5.050392,5.236912,6.413424
5.12213,5.201043,6.427772
5.000175,5.172348,6.399076
5.12213,5.208217,6.449293
5.057566,5.193869,6.456467
5.086261,5.143652,6.420598
5.107783,5.222564,6.427772
5.150826,5.150826,6.477988
5.071913,5.150826,6.384728
5.079087,5.143652,6.513858
5.057566,5.215391,6.399076
5.043218,5.179521,6.391902
5.050392,5.143652,6.434945
5.079087,5.165174,6.384728
5.114956,5.201043,6.391902
5.043218,5.172348,6.456467
5.036044,5.165174,6.413424
5.071913,5.222564,6.477988
5.06474,5.172348,6.420598
5.007349,5.186695,6.535379
5.050392,5.12213,6.384728
5.093435,5.136478,6.363207
5.114956,5.222564,6.334511
5.057566,5.12213,6.327338
5.071913,5.215391,6.449293
5.079087,5.143652,6.449293
5.150826,5.186695,6.535379
5.136478,5.129304,6.485162
5.12213,5.129304,6.399076
5.057566,5.186695,6.399076
5.02887,5.12213,6.477988
5.071913,5.179521,6.420598
5.057566,5.193869,6.477988
5.071913,5.179521,6.40625
5.107783,5.179521,6.334511
5.071913,5.100609,6.427772
5.12213,5.143652,6.442119
5.06474,5.208217,6.470815
5.007349,5.186695,6.40625
4.993001,5.201043,6.456467
5.143652,5.158,6.37038
5.143652,5.150826,6.463641
5.100609,5.172348,6.456467
5.12213,5.208217,6.434945
5.071913,5.136478,6.434945
5.086261,5.172348,6.391902
5.12213,5.186695,6.384728
5.071913,5.136478,6.413424
5.172348,5.150826,6.348859
5.12213,5.229738,6.420598
5.165174,5.201043,6.442119
5.143652,5.158,6.320164
5.114956,5.12213,6.356033
5.129304,5.086261,6.442119
5.107783,5.172348,6.31299
5.093435,5.193869,6.377554
5.079087,5.201043,6.420598
5.114956,5.165174,6.456467
5.057566,5.150826,6.449293
5.014523,5.107783,6.399076
5.193869,5.287129,6.485162
5.02887,5.215391,6.485162
5.007349,5.193869,6.442119
5.100609,5.193869,6.449293
5.201043,5.107783,6.434945
5.086261,5.172348,6.40625
5.079087,5.150826,6.485162
5.06474,5.136478,6.442119
5.100609,5.071913,6.413424
5.150826,5.136478,6.470815
5.086261,5.143652,6.470815
5.06474,5.158,6.463641
5.079087,5.158,6.413424
5.007349,5.186695,6.456467
5.079087,5.186695,6.456467
5.100609,5.150826,6.477988
5.179521,5.136478,6.449293
5.079087,5.107783,6.442119
5.086261,5.186695,6.327338
5.12213,5.208217,6.348859
5.100609,5.279955,6.384728
5.165174,5.114956,6.434945
5.136478,5.193869,6.434945
5.071913,5.172348,6.513858
5.050392,5.236912,6.470815
5.057566,5.172348,6.442119
5.107783,5.107783,6.442119
5.107783,5.165174,6.456467
5.093435,5.129304,6.485162
5.057566,5.143652,6.40625
