I3,I4,I5
0.019175,0.005326,0.006392
0.003196,0.003196,-0.010653
0.004261,-0.004261,-0.003196
0.003196,0.010653,0.035154
0.010653,0.005326,0.003196
0.014914,-0.006392,-0.003196
0.008522,-0.010653,0.003196
-0.003196,0.005326,-0.012783
-0.007457,-0.006392,-0.010653
-0.004261,-0.009587,0.003196
0.007457,-0.003196,0.011718
-0.003196,0.012783,0.014914
0.005326,0.012783,-0.003196
0.008522,0.005326,0.010653
-0.008522,-0.017044,0
-0.002131,0,-0.010653
-0.006392,0.009587,0.005326
0.015979,0.011718,0.003196
0.012783,0.012783,-0.001065
0.012783,0.007457,-0.006392
-0.001065,-0.011718,-0.005326
0,-0.004261,-0.013848
0.008522,0.006392,0.008522
0.013848,0.005326,0.011718
0.019175,-0.012783,-0.005326
0.017044,-0.015979,-0.022371
0.001065,0.017044,0.009587
-0.006392,0.001065,0.011718
0.011718,0.007457,-0.014914
0.004261,-0.002131,-0.013848
-0.005326,-0.002131,0.005326
-0.002131,0.007457,0.026632
0.008522,0.022371,0.007457
0.004261,-0.010653,-0.008522
-0.003196,0,0.002131
-0.004261,0.009587,-0.003196
0.001065,0.008522,-0.007457
0.001065,-0.001065,0.019175
0.015979,0.001065,0.013848
0.005326,0.001065,0.006392
-0.008522,0.004261,0.008522
0.010653,-0.006392,0.001065
0.004261,-0.009587,0.002131
-0.003196,0.004261,-0.007457
0.010653,0.007457,0.001065
0,-0.006392,-0.015979
0.014914,0.008522,0.003196
0.010653,0.005326,0.012783
0.009587,0.002131,0.02024
-0.005326,0.022371,-0.007457
-0.001065,0.001065,0.001065
0.007457,-0.019175,0.001065
0.001065,-0.003196,-0.003196
0.003196,-0.004261,0.006392
-0.002131,0,0.007457
0.002131,-0.006392,-0.008522
0.007457,0.010653,0
0.022371,0.003196,0.003196
0.021305,0.001065,0.003196
0.005326,-0.001065,0
-0.013848,0.007457,0.005326
0.010653,0.006392,0.006392
0.023436,0.004261,0.026632
0.004261,-0.019175,-0.012783
-0.013848,-0.002131,-0.007457
0.002131,0.009587,0
0.015979,0.001065,0.003196
0,0.003196,-0.003196
0.001065,0.006392,-0.008522
0.012783,0.003196,-0.003196
0.005326,-0.006392,0.010653
0.015979,-0.027697,0
0,-0.008522,0.012783
-0.007457,0.003196,0.013848
0.004261,0.019175,0.006392
0.013848,0.006392,-0.007457
0.009587,0.003196,0.006392
-0.005326,-0.002131,0.004261
0.009587,-0.004261,-0.025566
0.017044,0.008522,-0.005326
0.004261,0.002131,0.007457
0.012783,0.018109,-0.005326
-0.001065,0.007457,0.005326
-0.015979,0,-0.001065
0.013848,0.003196,-0.004261
0.006392,-0.002131,-0.004261
-0.011718,-0.003196,0.006392
0.007457,0.002131,0.004261
0.015979,0.007457,0
0.017044,0.011718,0.007457
-0.004261,-0.025566,-0.002131
0.010653,-0.004261,0.005326
0.017044,0.009587,0.008522
-0.013848,0.003196,-0.003196
-0.007457,0.004261,-0.010653
0.003196,-0.004261,0.006392
-0.006392,0.003196,0
0.004261,0.019175,0.005326
0.015979,0.006392,-0.011718
0.007457,0.009587,0.004261
-0.015979,0.012783,0.008522
-0.001065,-0.006392,-0.011718
0.007457,-0.008522,-0.007457
0.017044,0,0.009587
0.023436,0.006392,0.008522
0.009587,-0.008522,0.007457
0.006392,-0.012783,-0.012783
0.007457,-0.003196,-0.012783
0.008522,-0.003196,0.014914
-0.001065,0.009587,-0.002131
0.013848,0.003196,-0.014914
0.002131,0.004261,-0.015979
0.001065,0.009587,0.004261
0.008522,-0.005326,0.012783
0,-0.018109,0.002131
0,0.004261,-0.018109
0,0.018109,0.012783
-0.002131,0.008522,0.007457
0.004261,-0.010653,-0.02024
0.005326,-0.003196,-0.007457
0.014914,0.024501,0.003196
0.006392,-0.005326,0.001065
0.019175,-0.002131,0.014914
0.012783,-0.001065,0.006392
-0.012783,0.002131,-0.012783
-0.002131,0.013848,-0.005326
0.014914,-0.007457,-0.006392
0.002131,-0.019175,0.007457
0.011718,0.009587,0.021305
0.007457,0.009587,0.004261
-0.002131,0.011718,-0.015979
-0.006392,-0.001065,-0.013848
0.008522,-0.007457,0.024501
0.008522,-0.002131,0.017044
-0.002131,0.009587,-0.026632
0.009587,0.003196,0.002131
0.009587,-0.006392,-0.011718
0.002131,0.005326,0.004261
0.017044,0.005326,0.014914
0.001065,0,0.014914
0.006392,-0.005326,-0.001065
0.013848,0.009587,-0.023436
0.013848,0.003196,0.004261
0.008522,0.002131,0.011718
0.003196,0.006392,-0.011718
-0.007457,0.004261,-0.003196
0.015979,-0.001065,0.011718
0.007457,-0.022371,0.003196
0.011718,-0.007457,0.008522
0.004261,0.004261,-0.001065
0.007457,0.004261,0.004261
0.001065,-0.001065,-0.005326
0.003196,0.006392,-0.009587
-0.002131,-0.007457,0.006392
0.002131,0.005326,0.026632
0.007457,0.008522,0.002131
0.004261,0.011718,-0.018109
0.003196,-0.010653,-0.008522
0.008522,0,0.011718
0.023436,0.005326,0
0.001065,0.003196,-0.009587
-0.004261,0.011718,-0.003196
-0.010653,0.010653,0.003196
0.006392,0.005326,0.010653
0.013848,-0.012783,-0.012783
0.005326,-0.008522,-0.028762
0.006392,-0.008522,-0.028762
-0.007457,-0.012783,0.019175
-0.003196,0,0.037284
0.014914,0.02024,0.011718
0.019175,-0.002131,0.005326
0.007457,-0.002131,-0.009587
0.009587,0.017044,-0.001065
0.010653,-0.012783,-0.007457
0.001065,-0.005326,-0.009587
0.014914,-0.001065,-0.017044
0.009587,-0.002131,0.007457
-0.002131,-0.022371,0.008522
-0.009587,-0.021305,-0.023436
0.009587,0.010653,0.009587
0.008522,0.007457,0.011718
-0.005326,-0.002131,0.007457
-0.003196,0.001065,-0.002131
0.019175,0.006392,-0.003196
0.005326,0.002131,-0.013848
0.010653,0.007457,-0.005326
0.005326,-0.004261,0.013848
-0.006392,-0.011718,0.022371
0.007457,-0.004261,0.003196
0.002131,0.001065,0.007457
0,-0.001065,-0.005326
0.022371,0.002131,-0.007457
0.012783,0.001065,0.009587
0.008522,0.007457,0.002131
0.011718,0.008522,0.006392
0.017044,0.003196,-0.010653
0.019175,-0.005326,0.001065
0.007457,-0.003196,0.011718
-0.002131,0.003196,-0.008522
0.002131,0.001065,-0.003196
0.005326,0.007457,0.003196
-0.002131,0.012783,0.013848
0.009587,0.004261,0.015979
0.010653,-0.019175,-0.010653
0.02024,0.014914,0.009587
0.014914,0.004261,0.014914
0.006392,-0.007457,0.008522
0.018109,0.014914,-0.019175
0.006392,0.001065,0.001065
0.002131,-0.009587,0.007457
-0.011718,-0.002131,-0.005326
0.013848,0.010653,-0.002131
0.006392,-0.003196,-0.004261
0,-0.005326,0
0.005326,0.003196,0.02024
-0.002131,-0.006392,-0.007457
-0.006392,0.006392,-0.006392
-0.014914,-0.007457,0.018109
0.003196,-0.021305,0.013848
0.017044,-0.015979,-0.006392
-0.001065,0.009587,0.002131
0.022371,0.014914,-0.007457
0.021305,-0.003196,-0.001065
-0.009587,-0.009587,0.007457
-0.003196,0.013848,-0.010653
0.008522,0.002131,-0.004261
0.018109,0.010653,0.021305
0.002131,0.003196,0.018109
-0.002131,0.014914,0.005326
0.004261,0.005326,-0.003196
0.014914,-0.005326,-0.004261
0.011718,0.014914,-0.002131
0.003196,0.005326,0
-0.003196,-0.003196,-0.008522
0.012783,0.012783,0.021305
0.009587,-0.009587,-0.02024
-0.002131,0.004261,-0.017044
0.002131,0.005326,0.027697
0.004261,0.004261,-0.008522
0.017044,-0.006392,-0.011718
0,-0.005326,0.008522
0.001065,0.011718,-0.007457
0.009587,-0.006392,-0.006392
0.02024,-0.009587,-0.008522
0.011718,0.001065,0.001065
0.017044,-0.007457,-0.013848
0.015979,-0.010653,-0.022371
-0.005326,0.005326,0
-0.013848,-0.011718,0.011718
0.007457,-0.014914,0.013848
0.019175,0.018109,0.008522
0.003196,0.012783,0.002131
0.013848,-0.006392,0.001065
0.010653,0.006392,0
0.009587,0.012783,0.001065
-0.001065,-0.007457,0.004261
-0.001065,0.001065,0.006392
0.001065,0.008522,0.001065
-0.001065,-0.005326,-0.004261
-0.011718,0.003196,0.019175
0.003196,0.006392,0.008522
0.008522,0.001065,-0.006392
0.001065,0.008522,-0.002131
0.010653,0.015979,0.010653
0.005326,-0.003196,-0.021305
0.009587,0.002131,0.004261
0.019175,-0.002131,-0.006392
0.005326,-0.007457,0
0.013848,0.012783,-0.010653
